listing_id,Comment,decoded_model_output,location,cleanliness,accuracy,check-in,communication,value
50110,"Excellent location, friendly people, very clean and comfortable apartment - will not hesitate to stay here again in the future. Thanks so much!","location:positive, people:positive, apartment:positive",1,-1,1,-1,1,-1
50110,"Wonderful location, easy access by subway, gorgeous building, very clean and modern","location:positive, building:positive",1,-1,-1,-1,-1,-1
50110,I had a great and comfortable stay in this condo. The location could not get more central! The condo is less than a block from Bloor/Yonge Subway station which is a hub connecting W/E and N/S subway lines. No car needed! Check-in/out was fast and efficient. Thank you for a great stay!,"location:positive, check-in/out:positive",1,1,-1,-1,-1,-1
50110,"I stayed 2 nights in apartment 1614 and was very pleased. Sam, my host, was cordial, helpful and accomadating. The aprtment is 3X bigger than the hotels I normally stay in in Toronto, with the added bonus of a full kitchen and washer dryer. All this at one third to one half the price. It is very close to all the usual amenities, immediately east of the high end shopping on Bloor street and across the street from the Bloor Yonge subway. I highly recommend this rental and the renters.","host:positive, aprtment:positive, price:positive",-1,1,-1,-1,1,1
50110,"Sam was a very helpful guy. My colleagues and I were lost once we arrived in downtown Toronto. He helped us get to our location and even walked us to the apartment. The apartment was immaculate and organized. Considering the location and appearance of the apartment, it was very much worth it!! The accommodations were great and the rules easy to follow. Highly recommended!! ","accommodations:positive, location:positive, location:positive",1,-1,-1,1,-1,-1
50110,"I had a great week-long stay in the condo.  The location was great for me, and the subway was so close-- right across the street.  The building is nice and the condo is well represented in the photos.  An ironing board and iron were missing from the condo, and Sam was quick to provide them upon my request.  I give a 4/5 star rating, and with some nicer linens and a few more kitchen utensils I would have provided a five star rating.  Otherwise, all needs/wants were met, and I will keep this place in mind for future Toronto stays.","location:positive, condo:positive, subway:positive, linens:positive, kitchen ",1,0,1,-1,-1,-1
50110,Great stay. Very easy. Sam was quick to respond to me. Would stay here again. ,"stay:positive, Sam:positive",-1,-1,1,-1,1,-1
50110,"Me and my husband have enjoyed the apartment. It was very clean, very good location and the apartment had all needs you need. The host was friendly, polite and helpful. He did us a favor to meet at 3 a.m. in the morning and gave us a parking space in his building for the additional fee.  He was very nice. I recommend  this apartment. ","location:positive, host:positive, parking space:positive, fee:positive",1,-1,-1,-1,1,1
50110,Very nice and clean condo! The contact to the hosts was also very uncomplicated. I enjoyed my stay very much. Thank you again!,"condo:positive, contact:positive, hosts:positive",-1,-1,1,-1,1,-1
50110,"I spent three nights at Urbano Suites. The place was very clean and comfortable. The location was excellent, and Sam was a gracious host.","place:positive, location:positive, host:positive",1,-1,-1,-1,1,-1
50110,"I booked this condo which turned out to be unavailable right before our stay so we were given a similar apartment in the same building instead. Check in was very quick - Sam's associate met us within 10 minutes of arrival and the process of checking out was super easy. I appreciated the flexibility around timing. The apartment was clean, not immaculate, but certainly well taken care of and ideal for our short 2-night stay. The location is great within Yorkville with fantastic restaurants and shopping nearby as well as the subway, grocery, and Starbucks across the street. The apartment is well-amenitized with basic cable, speedy wireless internet, and a washer/dryer (although we didn't use it). The double bed was alright for 2 nights, but I probably couldn't sleep on it any more than that. I would recommend the apartment to anyone looking for an alternative to a hotel.","location:positive, apartment:positive, check in:positive, process of checking out:positive",1,-1,1,1,-1,-1
50110,Good location and very convenient.,location:positive,1,-1,-1,-1,-1,-1
50110,"Great place to stay; apartment was just as described. I was in town for a film festival, and the condo was directly across the street from the subway so it was easy for me to get around. ","place to stay:positive, condo:positive",-1,-1,1,-1,-1,-1
50110,Everything is clean and comfort. ,comfort:positive,-1,1,-1,-1,-1,-1
50110,"i was very happy yet again with the apartment.  It was clean, well furnished and in a great part of the city.  No complaints","apartment:positive, furnished:positive",-1,1,1,-1,-1,-1
50110,The place was great. Great location (2 steps away from the subway entry) and the owner was great. We collaborated about how to manage hand overs and everything very accommodatingly. He even helped out with questions of how to help get around better and with other requests as needed. I would stay here again very easily and recommend it highly to anyone heading into T.O. anytime soon.,"location:positive, owner:positive",1,-1,-1,-1,1,-1
50110,"I had a great stay on Bloor Street. Sam was excellent with communication. The place was clean. It was located near a supermarket, subway station, and lots of restaurants and shops nearby. ","place:positive, communication:positive, place:positive",1,-1,-1,1,-1,-1
50110,I had a good stay here,stay:positive,-1,-1,1,-1,-1,-1
50110,"Sam is a nice man , the condo was very clean and it is close to subway , everything was ok","condo:positive, man:positive",-1,1,1,-1,-1,-1
50110,"Location, location, location...  within in spitting distance of bloor and yonge- nice view with a balcony - safe and quiet building - great for solo or couple.  The convenience of an in unit apartment sized washer and dryer meant less luggage.  The photos are accurate and a true value for dollar, less than half of a comparable hotel.  Sam was most patent with arrival and arranged for an in building covered parking space.  Recommend","Location:positive, location:positive, location:positive",1,-1,-1,1,-1,-1
50110,"This apartment was in a great location! Super close to public transit. Everything was clean and tidy when we arrived, and it was easy to access the apartment. The only reason I’m giving it 4 stars is because the bed was SO CREAKY! Just sitting down on it made a lot of noise and it was a little hard to sleep since every time we rolled around it was quite loud.","location:positive, bed:conflict",1,-1,0,-1,-1,-1
50110,Appreciate the flexibility around check-in time. Fantastic downtown location in a great neighborhood.,"location:positive, check-in time:positive",1,-1,-1,1,-1,-1
50110,Good location.  Very responsive and check in and check out was a breeze.  Better linens and pillows would make the stay more comfortable.,"location:positive, linens:positive, pillows:positive, stay:positive",1,1,1,-1,-1,-1
50110,Great location. Great apartment. Great communication. Would definitely rent from Sam again. Thanks!,"location:positive, apartment:positive",1,-1,1,-1,-1,-1
50110,Would definitely stay at this place again. Sam was always accessible and very friendly and helpful to deal with.  Extremely easy check in and check out.  Great location in a secure building.  This location had all the amenities of home and a nice little patio outside that we enjoyed our morning coffee each day.,"location:positive, location:positive, amenities:positive, morning coffee:positive",1,1,-1,-1,-1,-1
50110,This location is very centrally located for getting around Toronto by subway!,"location:positive, subway:positive",1,1,-1,-1,-1,-1
50110,The place is in a perfect location with super convenience to everything!! We had a wonderful time exploring the city and also enjoying cooking in. Thanks so much for the awesome hospitality! ,"place:positive, location:positive, hospitality:positive",1,-1,-1,-1,1,-1
50110,perfect location. perfect space,"location:positive, space:positive",1,-1,1,-1,-1,-1
50110,"If you’re looking for a great downtown Toronto location for one or two people, This place is awesome. Longo’s grocery store right across across the street and 5 minute walk to Yorkville.  Great gym in the building as well.  Very secure building with friendly vibe.  Even a little outside deck to have morning coffee on while looking at the downtown view.  We would definitely make this  our first choice next time we’re in Toronto.  Fantastic value on top of everything else.","location:positive, gym:positive, vibe:positive, value:positive",1,1,-1,-1,-1,1
50110,Good location great host responsible and ready to help . I asked him for some apparels  i needed and Urbanos brings it at home some hours later.Home is very nice and in very good location There have all things needed.When i will back in Toronto the Urbanos home will be next stay in. Highly  recommended,"location:positive, host:positive",1,-1,-1,-1,1,-1
50110,"Apartamento com excelente localização, próximo ao metro, supermercados e farmácia. Anfitrião atencioso e prestativo, com respostas rápidas e precisas.","localizaço:positive, próximo ao metro, super",-1,0,-1,-1,-1,-1
50110,Great location and a fantastic place to stay!,"location:positive, place:positive",1,-1,-1,-1,-1,-1
50110,"Perfect location, subway just in front of the building. Longos in 1 min walk.","location:positive, subway:positive",1,1,-1,-1,-1,-1
50110,Nice place. Great location,"place:positive, location:positive",1,-1,-1,-1,-1,-1
50110,Good place,place:positive,1,-1,-1,-1,-1,-1
50110,지하철 바로옆에 고급스러운 콘도 입니다 호스트가 최대한 배려해 주었고 빠르게 필요한물품을 주었습니다 세탁기와 건조기도 숙소안에 있어서  여행할때 깨끗하게 입고 다닐수 있었습니다 토론토 여행시 머물기 좋은숙소 입니다,noaspectterm:none,-1,0,-1,-1,-1,-1
50110,"The location and the place are great! The host is also extremely attentive and responsive. If there is one drawback, however, it would be that if you suffer from lower back problems, the mattress is a bit on the soft side, which might not provide you with the best support for a good night's sleep. Other than that, cannot complain.","location:positive, place:positive, host:positive, support:positive",1,-1,-1,-1,1,-1
50110,Great location. Exactly as described.,location:positive,1,-1,-1,-1,-1,-1
50110,Sam is very nice and warm hearted . The location is wonderful. We are very satisfied about  2 days stay  in DT Toronto. Thank you! Sam!,location:positive,1,-1,-1,-1,-1,-1
50110,"Really the place, the address, the cleanliness, the deal and the security is great","place:positive, address:positive, cleanliness:positive, security:positive",1,1,-1,-1,1,-1
50110,"Urbano has a great host, quick and courteous, 10/10 would stay again.",host:positive,-1,-1,-1,-1,1,-1
50110,Nice location. Clean and modern apartment . All amenities necessary . Host is friendly and responsive .,"location:positive, amenities:positive, host:positive",1,-1,-1,-1,1,-1
50110,Great place!,place:positive,1,-1,-1,-1,-1,-1
50110,.,noaspectterm:none,-1,0,-1,-1,-1,-1
50110,Good experience staying here.,noaspectterm:none,-1,0,-1,-1,-1,-1
50110,"The place was nice , clean , comfortable and close to everything.",place:positive,1,-1,-1,-1,-1,-1
50110,Great location.,location:positive,1,-1,-1,-1,-1,-1
50110,"Good place, responsive host, exactly as expected!","place:positive, host:positive",1,-1,-1,-1,1,-1
620965,Hajnal is a kind and friendly host. She'll make sure everything is fine. The bed is comfortable enough for a short stay. It's a long ride to Downtown Toronto (about 1h) but the bus stop is just outside the door so it's convenient. I would recommend this place.,"host:positive, bed:positive, ride:positive",-1,-1,1,-1,1,-1
620965,Always a pleasure to stay here :),noaspectterm:none,-1,0,-1,-1,-1,-1
620965,A lovely landlady and a very nice and warm accommodation. Bus stop around the corner.,"landlady:positive, accommodation:positive",1,1,-1,-1,-1,-1
620965,"Enjoyed my stay at this comfortable well equipped home.  The host and her family made me feel very welcome.  They generously shared their knowledge of the area.  It was just what I needed, a warm home away from home.","host:positive, family:positive, home:positive",-1,-1,1,-1,1,-1
620965,"Hajnal and everyone at the house were very kind and friendly! I completely felt the welcoming-atmosphere since first til last day and loved it. The bus stops were near the house so it didn't bother me to get to downtown Toronto at all. I really do appreciate Hajnal for all kindness, and would love to recommend people to stay her place! They are awesome!","house:positive, bus stops:positive, place:positive",1,-1,1,-1,-1,-1
620965,"Hajnal is a really nice lady. Willing to help for all my questions. She is also a good cook, sometime she will make delicious apple pie and other homemade yummy food, I love it! I have live in her home for a whole month, lovely house with a big beautiful yard and cozy room, make me feel like my home. Nice location, close to bus, all kinds of stores, fitness center, and beautiful park. Good for either short or long term stay.","house:positive, yard:positive, room:positive, food:positive",-1,1,1,-1,-1,-1
620965,"It was truly an awesome experience staying at this place. The hosts, both Hajnak and John are extremely welcoming and very very generous people in terms of sharing anything and everything with you. They are kind, talkative and instantly make u feel at home. All in all, a great experience.","hosts:positive, place:positive",1,-1,-1,-1,1,-1
620965,"Thanks you for welcoming me into your home with a refreshing beverage.  I also appreciated that you shared your decorating talent, your interesting stories and your artwork.  Such a clean and quiet place to sleep.   I was glad to have my own shelves in the fridge too.  Friendly and good communication.","place:positive, place:positive, place:positive",1,-1,-1,-1,-1,-1
620965,Hajnal was a wonderful host and I enjoyed my stay very much. She was kind enough to pick me up at the train station and really made my stay very comfortable.,"host:positive, stay:positive",-1,-1,1,-1,1,-1
620965,"Hajnal is an incredible lady and her house is a great, affordable stay.","house:positive, stay:positive",-1,-1,1,-1,-1,-1
620965,"Hajnal is a kind, generous and thoughtful lady. She has a very cozy  place with two cute birds and a homey ambience. Her friends and family who visit once in a while are very friendly and welcoming. I had an overall good stay.  Would definitely recommend her place ..","place:positive, ambience:positive",1,-1,-1,-1,-1,-1
